"DOY","Black_1","Black_2","Black_3","Black_4","Black_5","Black_6","Black_7","Black_8","Black_9","Black_10"
2023363,0.179,0.4107,0.2702,0.2525,0.4067,0.2533,0.1877,0.5853,0.2878,0.2834
2023355,0.4973,0.2314,0.5861,0.2707,0.3315,0.3978,0.3204,0.4236,0.3234,0.2921
2023354,NA,0.2735,NA,0.3146,0.348,0.3455,0.2824,0.3902,0.6196,0.1837
2023346,NA,0.5143,NA,0.4678,0.463,0.3516,0.4895,0.3948,0.3909,0.6471
2023339,0.2227,0.2588,0.1838,0.2858,0.2948,0.2946,0.2484,0.2931,0.3025,0.3041
2023338,NA,0.6919,NA,0.5048,0.5263,0.4635,0.5031,0.5702,0.4574,0.2545
2023331,0.2043,0.2058,0.1988,0.2675,0.2626,0.2518,0.2024,0.2748,0.2815,0.2597
2023330,NA,0.2294,NA,0.1224,0.2794,0.7483,0.2408,0.4541,0.3231,0.1538
2023323,0.2067,0.2046,0.1928,0.2676,0.2578,0.2542,0.2084,0.2803,0.2784,0.2582
2023322,NA,0.215,NA,0.2731,0.2743,0.5353,0.1591,0.1029,0.0748,0.2746
2023315,0.2172,0.2373,0.1439,0.1259,0.3021,0.2692,0.2242,0.3077,0.3238,0.1788
2023314,NA,0.1089,NA,0.1142,0.295,0.2868,0.2551,0.1813,0.2917,0.0811
2023307,0.2223,0.2313,0.2114,0.1109,0.1628,0.2793,0.2272,0.1206,0.3787,0.2825
2023306,NA,0.2131,NA,0.3417,0.2611,0.2826,0.4124,0.4545,0.2467,0.3532
2023299,0.4129,0.3342,0.6788,0.4596,0.1479,0.7494,0.2852,0.3575,0.1754,0.2706
2023298,NA,0.1587,NA,0.2868,0.2908,0.0611,0.228,0.3049,0.2974,0.2708
2023291,0.2189,0.2059,0.1947,0.2622,0.2601,0.2528,0.198,0.2778,0.2837,0.2607
2023290,NA,0.1909,NA,0.2526,0.2455,0.2395,0.1842,0.2687,0.2719,0.2495
2023283,0.223,0.378,0.217,0.2898,0.4757,0.3248,0.4541,0.4085,0.2745,0.3536
2023275,0.0319,0.2458,0.2102,0.318,0.375,0.2732,0.3395,0.3944,0.8587,0.2709
2023274,NA,0.3176,NA,0.3055,0.0654,0.333,0.238,0.3256,NA,0.3001
2023267,0.2168,0.8791,0.2785,0.9239,0.8828,0.8671,0.8588,0.8748,0.7851,0.9519
2023266,NA,0.2279,NA,0.2751,0.283,0.1524,0.1652,0.2748,0.2818,0.2554
2023259,0.2399,0.5483,0.2175,0.2998,0.3421,0.2221,0.5208,0.3562,0.39,0.5664
2023258,NA,0.2037,NA,0.2625,0.2595,0.3653,0.2052,0.2839,0.2749,0.2577
2023251,0.2402,0.2189,0.217,0.2895,0.2741,0.2609,0.2257,0.2897,0.2908,0.2718
2023250,NA,0.204,NA,0.2759,0.2548,0.2503,0.1874,0.2786,0.2836,0.2689
2023243,0.2187,0.7695,0.2127,0.2786,1.0159,0.7916,0.4059,0.9345,0.3116,0.2503
2023242,NA,0.8282,NA,0.3229,0.8216,0.5791,0.9213,0.7472,0.5277,0.2765
2023235,0.9015,0.2297,0.218,0.2978,0.2843,0.2752,0.2439,0.3209,0.3303,0.2876
2023234,NA,0.2085,NA,0.2763,0.2464,0.2565,0.2193,0.2863,0.2856,0.2555
2023227,0.3726,0.0579,0.1699,0.0941,0.2978,0.2669,0.2246,0.3107,0.3091,0.302
2023226,NA,0.1069,NA,0.2674,0.2619,0.2756,0.1366,0.2188,0.2878,0.4061
2023219,0.222,0.2379,0.2246,0.2892,0.0764,0.3045,0.3235,0.2992,0.6873,0.291
2023218,NA,0.2012,NA,0.1078,0.233,0.2413,0.209,0.2821,0.2731,0.2491
2023211,0.7644,0.9553,0.0399,0.3062,0.1745,0.2792,0.24,0.3434,0.3348,0.3671
2023210,NA,0.1874,NA,0.2282,0.2204,0.2879,0.2565,0.3105,0.3249,0.3837
2023203,0.2402,0.2526,0.223,0.3023,0.2153,0.2461,0.5668,0.311,0.3033,0.2661
2023202,NA,0.5435,NA,0.3167,0.5404,0.4761,0.4042,0.6078,0.8896,0.2626
2023195,0.2421,0.276,1.0114,0.3203,0.2608,0.5081,0.2282,0.5471,0.3117,0.2875
2023194,NA,0.1956,NA,0.2954,0.2357,0.0441,0.3102,0.3251,0.2533,0.2715
2023187,0.2023,0.164,0.1902,0.286,0.2442,0.266,0.2273,0.1143,0.2921,0.2534
2023186,NA,0.2851,NA,0.288,0.2301,0.2352,0.2069,0.2943,0.2971,0.2663
2023178,NA,0.2108,NA,0.2633,0.2057,0.0679,0.3664,0.8004,0.2713,0.2501
2023171,0.5701,0.2232,0.3375,0.2704,0.2709,0.2031,0.2573,0.3511,0.3045,0.2626
2023170,NA,0.1121,NA,0.2695,0.2811,0.4028,0.5396,1.0205,0.3452,0.2419
2023163,0.2898,0.0845,0.1955,0.1626,0.2476,0.2554,0.4185,0.3336,0.3373,0.2642
2023162,NA,0.2191,NA,0.2547,0.0667,0.2603,0.2079,0.2918,0.1703,0.2425
2023154,NA,0.1543,NA,0.9491,0.208,0.3155,0.6893,0.3335,0.4221,0.5266
2023147,0.2065,0.4637,0.1657,0.11,0.2891,0.2628,0.2316,0.3304,0.2804,0.0658
2023146,NA,0.1777,NA,0.7841,0.8042,0.2529,0.0645,0.0545,0.3378,0.3001
2023139,0.2332,0.2669,0.365,0.688,0.5461,0.277,0.1279,0.3538,0.3313,0.2893
2023138,NA,0.202,NA,0.2585,0.23,0.2219,0.1924,0.2868,0.273,0.249
2023131,0.2339,0.2434,0.5412,0.2867,0.2906,0.3196,0.2408,0.3189,0.3176,0.2852
2023130,NA,0.2144,NA,0.1781,0.1652,0.2276,0.2084,0.3022,0.2817,0.2518
2023123,0.177,0.2367,0.2447,0.2806,0.2508,0.2755,0.2119,0.3078,0.3187,0.271
2023122,NA,0.2822,NA,0.2515,0.1565,0.2166,0.2048,0.3005,0.2793,0.2503
2023115,0.745,0.2505,0.6823,0.2055,0.312,0.2175,0.2367,0.2811,0.2801,0.2835
2023114,NA,0.2084,NA,0.2593,0.2632,0.2715,0.1964,0.3147,0.2549,0.2608
2023107,0.2136,0.9611,0.1905,0.2716,0.8076,0.8475,0.7289,0.9171,0.6836,0.3037
2023106,NA,0.2006,NA,0.2649,0.2328,0.2281,0.1951,0.2917,0.2784,0.2475
2023099,0.3398,0.231,0.2022,0.2784,0.2658,0.2444,0.27,0.3278,0.3273,0.2642
2023098,NA,0.1836,NA,0.0834,0.2087,0.6655,0.0653,0.505,0.0765,0.2992
2023091,0.2611,0.219,0.2145,0.4509,0.2519,0.3574,0.2254,0.3188,0.3472,0.2699
2023090,NA,0.2092,NA,0.2615,0.2364,0.2336,0.2077,0.2948,0.277,0.259
2023083,0.2385,0.238,0.2355,0.1386,0.2635,0.2796,0.6492,0.2516,0.484,0.2444
2023082,NA,0.0602,NA,0.3191,0.2968,0.157,0.2257,0.3209,0.7274,0.1417
2023074,NA,0.8239,NA,0.7702,0.7009,0.6986,0.7375,0.4714,0.6167,0.6015
2023067,0.2351,0.2139,0.2019,0.2698,0.2479,0.237,0.2202,0.2863,0.2766,0.247
2023066,NA,0.2098,NA,0.2961,0.2411,0.2288,0.2092,0.2861,0.2703,0.2381
2023059,0.2259,0.2237,0.1916,0.2664,0.2495,0.2327,0.2105,0.2958,0.2746,0.2472
2023058,NA,0.2117,NA,0.2536,0.2415,0.233,0.212,0.2935,0.279,0.2395
2023051,0.2283,0.214,0.2178,0.2624,0.2437,0.2285,0.2156,0.2919,0.2823,0.248
2023050,NA,0.2187,NA,0.268,0.2935,0.2365,0.2055,0.1217,0.2735,0.2578
2023043,0.4444,0.7673,0.2277,0.7095,0.3259,0.6266,0.9099,0.3454,0.7534,0.118
2023042,NA,0.2119,NA,NA,0.237,0.2359,0.2077,0.3009,0.2866,0.251
2023035,0.245,0.3647,0.1985,0.5055,0.3989,0.7842,0.1738,0.2957,0.3336,0.7345
2023034,NA,0.2185,NA,0.2513,0.2409,0.2258,0.2001,0.2876,0.2685,0.2307
2023026,NA,0.2757,NA,0.3779,0.197,0.2163,0.2199,0.1822,0.4257,0.6183
2023019,0.2275,0.2389,0.1891,0.2639,0.2936,0.2428,0.2239,0.2966,0.2953,0.3596
2023018,NA,0.211,NA,0.2552,0.2471,0.222,0.2096,0.2765,0.2721,0.2414
2023011,0.2266,0.2118,0.1695,0.262,0.2527,0.2304,0.2094,0.2768,0.2734,0.249
2023010,NA,0.2167,NA,0.2462,0.248,0.23,0.2132,0.2817,0.2551,0.2371
2023003,0.2256,0.2817,0.2646,0.2207,0.1185,0.353,0.0776,0.3585,0.3442,0.302
2023002,NA,0.2115,NA,0.245,0.2503,0.2275,0.211,0.2827,0.2709,0.2408
2023356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023282,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
