"DOY","Red_1","Red_2","Red_3","Red_4","Red_5","Red_6","Red_7","Red_8","Red_9","Red_10"
2023363,0.3245,0.107,0.3161,0.3328,0.3127,0.1376,0.2831,0.3101,0.3638,0.3471
2023355,0.3296,0.1409,0.2823,0.4469,0.422,0.2309,0.4027,0.3261,0.5221,0.5583
2023354,NA,0.2519,NA,NA,NA,0.3261,NA,NA,NA,NA
2023346,NA,0.4682,NA,NA,NA,0.4266,NA,NA,NA,NA
2023339,0.3156,0.2207,0.3047,0.287,0.3376,0.3171,0.3329,0.302,0.3289,0.3361
2023338,NA,0.5541,NA,NA,NA,0.5129,NA,NA,NA,NA
2023331,0.3236,0.1768,0.3246,0.2215,0.36,0.3322,0.3166,0.3048,0.3055,0.3299
2023330,NA,0.1212,NA,NA,NA,0.347,NA,NA,NA,NA
2023323,0.3158,0.1886,0.3132,0.2894,0.3798,0.3383,0.3185,0.3083,0.3352,0.3326
2023322,NA,0.1731,NA,NA,NA,0.3661,NA,NA,NA,NA
2023315,0.3311,0.0419,0.3206,0.295,0.3366,0.2399,0.0933,0.2992,0.3357,0.3511
2023314,NA,0.1114,NA,NA,NA,0.309,NA,NA,NA,NA
2023307,0.365,0.2304,0.3506,0.3204,0.4621,0.0876,0.7488,0.6697,0.2325,0.1029
2023306,NA,0.0706,NA,NA,NA,0.2841,NA,NA,NA,NA
2023299,0.437,0.2213,0.2134,0.3304,0.4044,0.2873,0.3047,0.3706,0.6133,0.207
2023298,NA,0.1462,NA,NA,NA,0.3379,NA,NA,NA,NA
2023291,0.3307,0.1934,0.3186,0.2923,0.3549,0.3351,0.3207,0.3042,0.2963,0.331
2023290,NA,0.2124,NA,NA,NA,0.3275,NA,NA,NA,NA
2023283,0.2967,0.0859,0.3382,0.3207,0.1906,0.3263,0.2288,0.1507,0.2536,0.4492
2023275,0.3638,0.221,0.4572,0.2002,0.3894,0.0826,0.3291,0.3958,0.3586,0.4342
2023274,NA,0.2168,NA,NA,NA,0.0819,NA,NA,NA,NA
2023267,0.4242,0.8506,0.6913,0.3682,0.8693,0.8766,0.8945,0.6976,0.862,0.8578
2023266,NA,0.1938,NA,NA,NA,0.2232,NA,NA,NA,NA
2023259,0.2779,0.2175,0.1653,0.3063,0.3927,0.3384,0.3512,0.035,0.3546,0.3777
2023258,NA,0.1495,NA,NA,NA,0.3161,NA,NA,NA,NA
2023251,0.353,0.1851,0.3354,0.3258,0.3601,0.3498,0.3335,0.317,0.3663,0.3997
2023250,NA,0.1936,NA,NA,NA,0.3432,NA,NA,NA,NA
2023243,0.361,-0.0014,0.2275,0.3194,0.138,0.5097,0.1568,0.3269,0.3296,0.3536
2023242,NA,0.5905,NA,NA,NA,0.7071,NA,NA,NA,NA
2023235,0.6631,0.2191,0.397,0.3447,0.4028,0.3669,0.3925,0.3533,0.3911,0.422
2023234,NA,0.2062,NA,NA,NA,0.3101,NA,NA,NA,NA
2023227,0.3867,0.1317,0.3981,0.2346,0.4344,0.0993,0.6389,0.3581,0.7394,0.2124
2023226,NA,0.1126,NA,NA,NA,0.3124,NA,NA,NA,NA
2023219,0.3839,0.2052,0.3478,0.3283,0.3177,0.3665,0.1944,0.3382,0.3647,0.3758
2023218,NA,0.209,NA,NA,NA,0.3344,NA,NA,NA,NA
2023211,0.3395,0.109,0.3463,0.3872,0.1162,0.3407,0.3558,0.3268,0.3329,0.365
2023210,NA,0.2059,NA,NA,NA,0.2988,NA,NA,NA,NA
2023203,0.3875,0.2192,0.5637,0.3083,0.3934,0.2814,0.3487,0.3587,0.288,0.2546
2023202,NA,0.5163,NA,NA,NA,0.5424,NA,NA,NA,NA
2023195,0.3728,0.13,0.3499,0.7954,0.3985,0.3217,0.3604,0.3245,0.3483,0.364
2023194,NA,0.1078,NA,NA,NA,0.3191,NA,NA,NA,NA
2023187,0.3373,0.1887,0.3436,0.314,0.4126,0.33,0.3329,0.322,0.3364,0.3457
2023186,NA,0.3383,NA,NA,NA,0.3608,NA,NA,NA,NA
2023178,NA,0.1886,NA,NA,NA,0.3206,NA,NA,NA,NA
2023171,0.207,0.1895,0.3885,0.2315,0.3921,0.3363,0.3467,0.2949,0.3635,0.3823
2023170,NA,0.1543,NA,NA,NA,0.3457,NA,NA,NA,NA
2023163,0.3545,0.1185,0.3642,0.3188,0.3383,0.3224,0.1957,0.3529,0.3447,0.3251
2023162,NA,0.1787,NA,NA,NA,0.3206,NA,NA,NA,NA
2023154,NA,0.3844,NA,NA,NA,0.3371,NA,NA,NA,NA
2023147,0.3691,0.2011,0.3552,0.2839,0.2863,0.2777,0.4068,0.3355,0.4337,0.4117
2023146,NA,0.2049,NA,NA,NA,0.3323,NA,NA,NA,NA
2023139,0.4091,0.1232,0.3543,0.3119,0.1401,0.3481,0.3841,0.2266,0.58,0.118
2023138,NA,0.0974,NA,NA,NA,0.2883,NA,NA,NA,NA
2023131,0.352,0.1893,0.3466,0.1968,0.3449,0.3556,0.3815,0.331,0.318,0.3792
