"DOY","White_1","White_2","White_3","White_4","White_5","White_6","White_7","White_8","White_9","White_10"
2023002,0.783876500857633,0.484656828297025,0.902745616936818,0.856081081081081,0.909027291812456,0.864907320138234,0.840721262208866,NA,NA,0.834229137199434
2023003,0.768232920149899,0.872476089266737,0.940714908456844,0.394644115574348,0.93628237451295,0.862618986364806,0.840768702814001,0.817430025445293,-0.00178407830657218,0.918932786044125
2023004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023010,0.778316591617596,0.854905193734542,0.840421528039142,0.871337579617834,0.922459893048128,0.86578449905482,0.844955752212389,NA,NA,0.91362763915547
2023011,0.767250257466529,0.848746403616934,0.902130492676432,0.868818681318681,0.922173767192217,0.86784140969163,0.834346504559271,0.805796010538201,0.927416895394937,0.911830003171582
2023012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023018,0.779887482419128,0.855757064529734,0.897435897435897,0.858620689655172,0.9263015551048,0.874116891457932,0.836405529953917,NA,NA,0.914987405541562
2023019,0.755006675567423,0.8359375,0.893095768374165,0.852912463390823,0.903307888040712,0.8530390081645,0.809694793536804,0.775179177668804,0.914195220270659,0.898665048543689
2023020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023026,0.650910881339242,0.126696832579186,0.45113369820172,0.406779661016949,0.899576868829337,0.444770283479961,0.461327051433059,NA,NA,0.13281096963761
2023028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023034,0.762434554973822,0.856225930680359,0.902347417840376,0.857930587090496,NA,0.851579270162527,0.83695652173913,NA,NA,0.906323185011709
2023035,0.641652123327516,0.106526192566579,0.468146883005978,0.596699669966997,0.144927536231884,0.281998454802987,0.823975720789074,0.701375245579568,0.0191023738872403,0.289791806581598
2023036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023042,0.752997601918465,NA,0.880061823802164,0.83488,NA,0.805,0.800511508951407,NA,NA,NA
2023043,0.170688114387846,0.0439086699664698,0.011351765443276,0.0321870701513067,0.171403197158082,0.0385346953152518,0.056976955180548,0.0600961538461538,0.244971634863332,0.458937198067633
2023044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023050,0.751222921034242,1.46182495344507,0.891125041240515,0.844399731723675,NA,0.84797507788162,0.804281345565749,NA,NA,0.503385240352065
2023051,0.736376021798365,0.8216,0.888597640891219,0.842069892473118,0.899556868537666,0.837535014005602,0.804482225656878,0.944281524926686,0.919595164464436,0.892238614496472
2023052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023058,0.759119496855346,0.830713422007255,0.887599266951741,0.837277147487844,NA,0.775312855517634,0.802871556072953,NA,NA,0.547594251197667
2023059,0.72446881425634,0.826915442635967,0.886252843678908,0.831111111111111,0.900723208415516,0.831210191082802,0.802189210320563,0.765785609397944,0.920545508449451,0.887820512820513
2023060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023066,0.718933887158186,0.753531073446328,0.883790029712776,0.812478455704929,0.690196078431373,0.810731707317073,0.791126815861798,NA,NA,0.878326996197719
2023067,0.710990502035278,0.78679817905918,0.869078947368421,0.811333333333333,0.879838959430164,0.811190997186621,0.777352716143841,0.747613997879109,0.913461538461538,0.869426751592357
2023068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023074,0.00155542030161634,-0.00286247666459237,0.00979002093038962,0.0129417286930866,0.0138148171946283,0.0016797688638043,0.00988078616689935,NA,NA,-0.00041379310344823
2023076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023082,0.681222707423581,0.817258883248731,0.879748565181743,0.872489082969432,0.224766562916852,0.821972734562951,0.127649640489308,NA,NA,0.125915943737893
2023083,0.728511530398323,0.798576512455516,0.0860424191905159,0.387661406025825,0.380847953216374,0.0497026338147833,0.0506854680767724,0.0927360774818402,0.878542510121457,0.868586387434555
2023084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023090,0.721345229924503,0.790461297888976,0.868294249919692,0.813570487483531,0.867066466766617,0.812876625436092,0.75687885010267,NA,NA,0.866199426568971
2023091,0.555043522785458,0.373991610196838,0.869649268157967,0.804773561811506,0.0861628009524649,0.805025125628141,0.750454710803929,0.231657820793007,0.914854657816434,0.612873563218391
2023092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023098,0.704847175054029,0.226245443499392,0.873721134171295,0.745667821914156,0.495004541326067,0.822130906956267,0.771449170872387,NA,NA,0.0175157534978105
2023099,1.42352941176471,0.785986290936786,0.795440911817636,0.0110055369471598,0.882929642445213,0.0617131572451246,0.00189077966855748,-0.00555219614094882,0.194688166943325,0.861177884615385
2023100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
