"DOY","White_1","White_2","White_3","White_4","White_5","White_6","White_7","White_8","White_9","White_10"
2023363,0.2331,0.2436,0.2967,0.1644,0.2521,0.2368,0.2372,0.164,0.2904,0.312
2023355,0.1815,0.2834,0.2769,0.527,0.4067,0.2013,0.5473,0.7129,0.4263,0.2656
2023354,0.499,0.3049,0.5646,0.4946,NA,0.5951,0.7162,NA,NA,0.2626
2023346,0.4204,0.4897,0.3807,0.3682,0.7187,0.435,0.3388,NA,NA,0.464
2023339,0.2891,0.2815,0.3086,0.2743,0.3242,0.3174,0.2569,0.2802,0.3453,0.3628
2023338,0.5096,0.527,0.5033,0.2467,0.7194,0.6802,0.1086,NA,NA,0.763
2023331,0.2717,0.2481,0.2943,0.2766,0.3035,0.2859,0.2457,0.2635,0.3401,0.3261
2023330,0.3707,0.0674,0.1716,0.3417,0.1489,0.4533,0.2906,NA,NA,0.2722
2023323,0.2699,0.25,0.3009,0.2866,0.3072,0.2914,0.2566,0.2602,0.3425,0.3282
2023322,0.2272,0.2575,0.4089,0.3071,0.3289,0.2535,0.2946,NA,NA,0.3438
2023315,0.3306,0.1302,0.3873,0.2429,0.3073,0.3129,0.3253,0.2875,0.4046,0.2706
2023314,0.271,0.1037,0.3018,0.2805,0.3148,0.2947,0.2514,NA,NA,0.2042
2023307,0.3244,0.2392,0.1292,0.3045,0.1356,0.3513,0.2914,0.3824,0.3918,0.2134
2023306,0.3013,0.235,0.2519,0.3158,0.3473,0.3633,0.2595,NA,NA,0.3709
2023299,0.3353,0.3954,0.2699,0.1465,0.3077,0.3747,0.8905,1.011,0.5278,0.4464
2023298,0.3321,0.273,0.3037,0.3188,0.2962,0.3416,0.2628,NA,NA,0.3741
2023291,0.2715,0.2505,0.2959,0.2797,0.3161,0.2944,0.2525,0.2517,0.3444,0.3058
2023290,0.2698,0.2308,0.2884,0.2727,0.3046,0.2815,0.2485,NA,NA,0.3017
2023283,0.3407,0.2659,0.289,0.2289,0.4562,0.2945,0.2153,0.1643,0.5712,0.1224
2023275,0.3264,0.3639,0.3443,0.2079,0.3942,0.3579,0.5091,0.289,0.4275,0.4601
2023274,0.4816,0.2995,0.1141,0.1744,0.1001,0.3529,0.049,NA,NA,0.1584
2023267,0.8029,0.9225,0.7589,0.6398,0.9098,0.8228,0.6526,0.3682,0.9302,0.9351
